step, loss 
91600 , 82.56
91700 , 50.31
91800 , 91.59
91900 , 81.51
91900 , 69.48
92000 , 81.10
92100 , 71.44
92200 , 58.35
92300 , 46.18
92300 , 48.37
92400 , 67.39
92500 , 65.10
92600 , 52.22
92600 , 40.22
92700 , 51.57
92700 , 34.05
92800 , 42.97
92900 , 49.99
93000 , 51.86
93100 , 99.77
93200 , 45.81
93300 , 51.31
93400 , 50.96
93500 , 42.79
93500 , 67.84
93600 , 43.75
93700 , 62.63
93700 , 37.36
93800 , 56.04
93900 , 84.36
94000 , 51.18
94100 , 67.76
94200 , 109.33
94300 , 54.11
94400 , 85.01
94500 , 53.55
94600 , 62.64
94700 , 90.61
94800 , 86.40
94900 , 88.32
95000 , 70.93
95100 , 48.80
95100 , 51.96
95200 , 57.63
95300 , 62.39
95400 , 86.96
95500 , 71.66
95600 , 71.31
95700 , 112.36
95700 , 83.95
95800 , 63.64
95900 , 64.01
96000 , 125.30
96100 , 58.49
96100 , 48.96
96200 , 56.04
96200 , 104.41
96300 , 67.09
96400 , 65.13
96400 , 53.20
96400 , 59.19
96500 , 59.23
96600 , 68.54
96700 , 114.24
96800 , 89.31
96900 , 82.35
97000 , 56.38
97100 , 61.53
97200 , 70.87
97300 , 70.94
97400 , 62.87
97500 , 62.81
97600 , 47.69
97700 , 51.80
97800 , 54.29
97900 , 144.38
98000 , 91.49
98000 , 110.83
98000 , 75.48
98100 , 93.35
98200 , 83.74
98300 , 87.46
98400 , 93.93
98500 , 60.85
98500 , 154.35
98600 , 77.33
98700 , 80.05
98800 , 75.41
98900 , 112.28
99000 , 66.94
99100 , 56.30
99200 , 81.17
99300 , 91.40
99400 , 75.53
99400 , 85.66
99400 , 79.96
99300 , 70.19
99300 , 71.98
99200 , 76.53
99200 , 62.28
99200 , 69.55
99200 , 75.93
99200 , 62.62
99300 , 62.99
99400 , 69.02
99500 , 90.66
99600 , 51.37
99600 , 87.73
99700 , 54.17
99800 , 85.79
99900 , 71.12
100000 , 127.57
100100 , 64.08
100200 , 59.93
100300 , 56.46
100400 , 44.46
100500 , 49.76
100600 , 74.21
100600 , 72.92
100700 , 31.31
100800 , 52.71
100900 , 33.21
101000 , 70.71
101100 , 76.74
101100 , 51.13
101200 , 109.92
101300 , 79.80
101400 , 66.74
101500 , 52.20
101600 , 70.19
101700 , 55.90
101800 , 47.68
101900 , 69.62
102000 , 77.94
102100 , 67.62
102200 , 53.62
102300 , 61.01
102400 , 164.00
102500 , 81.57
102600 , 60.11
102700 , 74.82
102800 , 83.66
102800 , 62.89
102900 , 71.90
103000 , 68.07
103100 , 45.63
103200 , 54.96
103300 , 51.97
103400 , 48.86
103500 , 56.02
103600 , 65.40
103700 , 69.72
103800 , 43.71
103900 , 42.81
104000 , 50.47
104100 , 65.93
104100 , 46.14
104200 , 73.94
104200 , 53.00
104300 , 49.63
104400 , 46.77
104500 , 69.13
104600 , 48.84
104700 , 61.27
104800 , 41.85
104900 , 64.45
105000 , 72.18
105100 , 87.04
105200 , 64.72
105300 , 55.24
105400 , 94.74
105500 , 39.25
105600 , 85.12
105700 , 72.25
105700 , 56.05
105800 , 73.99
105900 , 50.93
106000 , 70.64
106100 , 71.23
106200 , 77.41
106300 , 117.18
106400 , 71.45
106400 , 92.11
106500 , 58.93
106500 , 97.13
106600 , 77.47
106700 , 81.47
106800 , 94.66
106800 , 54.20
106900 , 52.38
107000 , 82.96
107100 , 67.87
107200 , 85.69
107300 , 56.48
107400 , 55.25
107500 , 85.55
107600 , 68.53
107600 , 92.88
107700 , 127.38
107700 , 72.70
107700 , 70.21
107800 , 86.49
107900 , 71.83
108000 , 61.84
108100 , 92.22
108200 , 120.53
108300 , 58.88
108400 , 45.21
108500 , 67.51
108500 , 41.27
108600 , 48.95
108700 , 85.99
108800 , 110.17
108900 , 114.10
108900 , 101.51
109000 , 78.00
109100 , 71.83
109200 , 116.98
109300 , 82.35
109400 , 90.72
109500 , 106.11
109600 , 100.76
109700 , 74.31
109800 , 117.71
109800 , 93.53
109800 , 76.61
109900 , 77.65
110000 , 124.45
110100 , 144.56
110200 , 81.79
110300 , 69.49
110100 , 81.44
110100 , 81.12
110100 , 65.45
110200 , 55.65
110300 , 60.64
110400 , 40.43
110500 , 56.46
110600 , 50.17
110700 , 129.58
110700 , 89.81
110800 , 82.27
110900 , 136.96
111000 , 46.69
111100 , 66.90
111200 , 65.77
111300 , 49.56
111400 , 43.92
111500 , 89.62
111600 , 47.65
111700 , 47.55
111800 , 53.66
111900 , 71.47
111900 , 40.79
112000 , 100.16
112100 , 72.00
112200 , 60.16
112300 , 56.97
112400 , 65.15
112500 , 56.32
112600 , 58.29
112700 , 73.63
112800 , 67.95
112900 , 70.94
113000 , 69.34
113100 , 56.39
113200 , 62.51
113300 , 77.11
113400 , 133.48
113400 , 115.75
113400 , 83.87
113400 , 98.76
113500 , 72.81
113600 , 76.42
113700 , 72.62
113700 , 109.17
113800 , 65.98
113900 , 68.17
114000 , 40.66
114100 , 34.44
114200 , 35.11
114300 , 33.15
114400 , 45.14
114400 , 50.98
114500 , 71.93
114600 , 52.97
114700 , 65.59
114800 , 49.14
114900 , 53.50
115000 , 40.80
115100 , 82.32
115200 , 62.01
115200 , 56.51
115200 , 44.05
115300 , 55.81
115400 , 68.75
115500 , 77.43
115600 , 102.14
115700 , 73.43
115700 , 76.58
115800 , 83.38
115900 , 45.04
116000 , 67.64
116100 , 82.66
116200 , 80.44
116300 , 75.08
116300 , 105.98
116400 , 51.50
116500 , 62.34
116500 , 90.76
116500 , 79.46
116600 , 62.74
116700 , 79.36
116800 , 53.91
116800 , 55.18
116900 , 79.82
117000 , 53.12
117100 , 84.96
117100 , 65.05
117200 , 54.78
117300 , 63.11
